PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION
027U,1999,6,9,2,24.8471667,-80.6214999,4.9,8,7279991,SPGR_HR,4,10,12,179,SCA TAEN,0,0,1,1,HRRF,FLA KEYS
028U,1999,6,9,1,24.8423333,-80.6321666,7.3,8,7257488,CONT_LR,4,10,0,198,EPI ADSC,0,0,1,0,FMLR,FLA KEYS
029U,1999,6,9,2,24.8965,-80.6164999,4,8,7287518,ISOL_MR,2,10,0,428,GRA LORE,0,0,1,0,MCPR,FLA KEYS
030U,1999,6,10,2,24.9335,-80.5501666,4.4,8,7415039,ISOL_MR,2,10,10,157,ABU SAXA,3.5,0.5,1,1,MCPR,FLA KEYS
031U,1999,6,10,1,24.9396667,-80.5489999,4.7,8,7415042,ISOL_MR,2,10,0,27,HYP BERM,0,0,1,0,MCPR,FLA KEYS
032U,1999,6,10,2,24.9226667,-80.5054999,5,8,7497533,SPGR_LR,4,10,9,208,HYP INDI,0,0,1,1,FSLR,FLA KEYS
033U,1999,6,10,2,24.9166667,-80.5103332,8.1,8,7490030,SPGR_LR,4,10,0,9,ACA COER,15,0.5,1,0,FMLR,FLA KEYS
034U,1999,6,10,1,24.9118334,-80.5158332,12.2,8,7478777,SPGR_LR,4,10,0,139,GYM MORI,0,0,1,0,FMLR,FLA KEYS
035U,1999,6,10,2,24.9095001,-80.5224999,10.7,8,7467526,SPGR_LR,4,10,0,215,MYC INTE,0,0,1,0,FMLR,FLA KEYS
036U,1999,6,15,2,24.4816667,-81.7056666,4.7,8,5221039,SPGR_HR,4,8,20,167,STE PART,2,1.75,1,1,HRRF,FLA KEYS
037U,1999,6,15,1,24.4796667,-81.7188333,5.3,8,5194788,SPGR_HR,4,8,20,167,STE PART,3,1,1,1,HRRF,FLA KEYS
038U,1999,6,15,2,24.479377,-81.722855,11,8,5187288,SPGR_LR,4,8,20,113,HAL BIVI,12,0.5,1,1,FMLR,FLA KEYS
039U,1999,6,15,1,24.475777,-81.726819,18,8,5179786,SPGR_LR,4,8,20,428,GRA LORE,0,0,1,1,FMLR,FLA KEYS
040U,1999,6,15,2,24.4783333,-81.7148333,4.9,8,5202287,SPGR_LR,4,8,20,98,HAE SCIU,0,0,1,1,FSLR,FLA KEYS
041U,1999,6,15,2,24.4926667,-81.7036666,8.7,8,5224795,ISOL_MR,3,8,20,27,HYP BERM,0,0,1,1,OFPR,FLA KEYS
042U,1999,6,16,2,24.5446667,-81.4088332,6.6,8,5783573,SPGR_HR,4,8,16,179,SCA TAEN,16,0.5,1,1,HRRF,FLA KEYS
043U,1999,6,16,1,24.5466667,-81.4014999,5.2,8,5798575,SPGR_HR,4,8,16,428,GRA LORE,0,0,1,1,HRRF,FLA KEYS
044U,1999,6,16,2,24.5663334,-81.3918332,7.3,8,5817335,ISOL_MR,3,8,17,179,SCA TAEN,0,0,1,1,OFPR,FLA KEYS
045U,1999,6,16,2,24.5681667,-81.3888333,6.9,8,5824836,ISOL_MR,3,8,17,45,TRA FALC,0,0,1,1,OFPR,FLA KEYS
046U,1999,6,17,1,24.5551667,-81.4353332,5.9,8,5734829,CONT_LR,4,8,0,244,URO JAMA,0,0,1,0,FMLR,FLA KEYS
047U,1999,6,17,2,24.5235,-81.5158332,6.9,8,5581062,SPGR_HR,4,8,0,255,SER ANNU,0,0,1,0,HRRF,FLA KEYS
048U,1999,6,17,1,24.5231667,-81.5191666,4,8,5577312,SPGR_HR,4,8,0,234,SPH LEWI,0,0,1,0,HRRF,FLA KEYS
049U,1999,6,17,2,24.5455001,-81.4074999,4.3,8,5787324,SPGR_HR,4,8,16,238,CAN ROST,3,0.5,1,1,HRRF,FLA KEYS
050U,1999,6,17,2,24.5455001,-81.4074999,3.8,8,5787324,SPGR_HR,4,8,16,230,CHA LIMB,0,0,1,1,HRRF,FLA KEYS
051U,1999,6,17,2,24.534,-81.4703333,6.7,8,5667318,SPGR_LR,4,8,0,312,CAL NODO,0,0,1,0,FSLR,FLA KEYS
052U,1999,6,23,1,24.5455001,-81.4074999,4.9,8,5787324,SPGR_HR,4,8,16,259,LAG RHOM,0,0,1,1,HRRF,FLA KEYS
053U,1999,6,23,1,24.5455001,-81.4074999,6.9,8,5787324,SPGR_HR,4,8,16,233,ELA RAND,0,0,1,1,HRRF,FLA KEYS
054U,1999,6,23,1,24.5521667,-81.3849999,6.9,8,5832328,CONT_LR,4,8,0,59,MAL TRIA,0,0,1,0,FMLR,FLA KEYS
055U,1999,6,23,1,24.5518333,-81.3824999,5,8,5836077,SPGR_LR,4,8,0,52,AMB PINO,0,0,1,0,FSLR,FLA KEYS
056U,1999,6,23,2,24.5563334,-81.5276666,8.7,8,5558580,ISOL_MR,2,8,0,238,CAN ROST,4,0.5,1,0,MCPR,FLA KEYS
057U,1999,6,23,2,24.5578334,-81.5209999,7.8,8,5573581,ISOL_MR,2,8,0,124,THA BIFA,8,5.75,1,0,MCPR,FLA KEYS
058U,1999,6,23,1,24.616161,-81.391878,2.4,8,5817363,ISOL_MR,1,8,18,395,BRO BARB,0,0,1,1,INPR,FLA KEYS
059U,1999,6,24,2,24.6253333,-81.1131666,6.9,8,6346118,SPGR_HR,4,9,15,9,ACA COER,0,0,1,1,HRRF,FLA KEYS
060U,1999,6,24,2,24.6303334,-81.0926666,5.9,8,6387371,SPGR_LR,4,9,0,436,BOL BOQU,0,0,1,0,FMLR,FLA KEYS
061U,1999,6,24,1,24.6458333,-81.0504999,7.8,8,6466129,SPGR_LR,4,9,0,246,PRI HIPO,0,0,1,0,FMLR,FLA KEYS
062U,1999,6,24,1,24.6486667,-81.0309999,11,8,6503631,SPGR_LR,4,9,0,436,BOL BOQU,0,0,1,0,FMLR,FLA KEYS
063U,1999,6,24,2,24.6673333,-81.0678332,5.5,8,6432391,ISOL_MR,2,9,0,418,MAL AURO,0,0,1,0,MCPR,FLA KEYS
064U,1999,6,24,1,24.6683334,-81.0694999,4,8,6428642,ISOL_MR,2,9,0,179,SCA TAEN,0,0,1,0,MCPR,FLA KEYS
065U,1999,7,21,1,25.0731167,-80.3906499,2.1,8,7715116,ISOL_MR,2,11,0,301,RAC CANA,0,0,1,0,MCPR,FLA KEYS
066U,1999,7,21,2,25.0745,-80.3804332,2,8,7733867,ISOL_MR,2,11,0,436,BOL BOQU,0,0,1,0,MCPR,FLA KEYS
067U,1999,7,21,1,25.1039,-80.3457333,2.7,8,7797634,ISOL_MR,2,11,0,301,RAC CANA,0,0,1,0,MCPR,FLA KEYS
068U,1999,7,21,2,25.1167333,-80.3411166,2.9,8,7808891,ISOL_MR,2,11,0,9,ACA COER,13,2,1,0,MCPR,FLA KEYS
069U,1999,7,21,1,25.1261667,-80.3359499,3.1,8,7816396,ISOL_MR,2,11,0,301,RAC CANA,0,0,1,0,MCPR,FLA KEYS
070U,1999,7,21,2,25.1348833,-80.3298166,3,8,7827651,ISOL_MR,2,11,0,431,PRI OPHR,0,0,1,0,MCPR,FLA KEYS
071U,1999,7,21,1,25.1483333,-80.3613166,2.1,8,7767658,ISOL_MR,1,11,0,335,EUC GULA,0,0,1,0,INPR,FLA KEYS
072U,1999,7,22,1,25.17745,-80.2660166,2.4,8,7947674,CONT_LR,4,11,0,430,NAR BANC,0,0,1,0,FSLR,FLA KEYS
073U,1999,7,22,1,25.19015,-80.2426332,3.7,8,7992682,CONT_LR,4,11,0,166,STE LEUC,6,1,1,0,FSLR,FLA KEYS
074U,1999,7,22,1,25.22025,-80.2580166,1.5,8,7962698,ISOL_MR,2,11,0,188,PAR ACUM,0,0,1,0,MCPR,FLA KEYS
075U,1999,7,22,1,25.22075,-80.2746332,1.5,8,7932698,ISOL_MR,2,11,0,279,CAR FALC,0,0,1,0,MCPR,FLA KEYS
076U,1999,7,22,2,25.2145,-80.3265332,1.5,8,7835195,ISOL_MR,1,11,0,189,EQU LANC,0,0,1,0,INPR,FLA KEYS
077U,1999,7,22,2,25.2110667,-80.3240833,2,8,7838943,ISOL_MR,1,11,0,53,ACA ASPE,0,0,1,0,INPR,FLA KEYS
078U,1999,7,26,2,24.8040834,-80.7862666,2.9,8,6968717,ISOL_MR,2,9,0,332,CHR ATHE,0,0,1,0,MCPR,FLA KEYS
079U,1999,7,26,2,24.7795,-80.739,6.1,8,7054953,RUBB_LR,4,9,0,118,HAL RADI,5,0.5,1,0,FSLR,FLA KEYS
080U,1999,7,26,1,24.7699667,-80.7251999,15.4,8,7081198,ISOL_LR,4,9,0,391,OPI MACR,0,0,1,0,FMLR,FLA KEYS
081U,1999,7,26,2,24.7654334,-80.7364833,13.9,8,7062446,SPGR_LR,4,9,0,93,HAE FLAV,0,0,1,0,FMLR,FLA KEYS
082U,1999,7,26,1,24.7672834,-80.7512333,5.2,8,7032447,SPGR_LR,4,9,13,183,SPA CHRY,0,0,1,1,FMLR,FLA KEYS
083U,1999,7,26,1,24.7451,-80.7780166,6.6,8,6983684,SPGR_LR,4,9,0,210,HYP PUEL,0,0,1,0,FMLR,FLA KEYS
084U,1999,7,26,1,24.7615,-80.8016666,7.5,8,6938693,ISOL_MR,1,9,0,386,CAR LUGU,0,0,1,0,INPR,FLA KEYS
085U,1999,7,27,1,24.7274834,-80.8206999,10.4,8,6901174,SPGR_LR,4,9,0,62,HAR JAGU,0,0,1,0,FMLR,FLA KEYS
086U,1999,7,27,1,24.715,-80.8443166,14.8,8,6856167,SPGR_LR,4,9,0,165,STE ADUS,4,1,1,0,FMLR,FLA KEYS
087U,1999,7,27,2,24.7025667,-80.8879332,7.5,8,6773661,SPGR_LR,4,9,0,89,HAE ALBU,-9,0.5,2,0,FMLR,FLA KEYS
088U,1999,7,27,2,24.6999167,-80.9310833,5.8,8,6691159,CONT_LR,4,9,0,100,HAE STRI,0,0,1,0,FSLR,FLA KEYS
089U,1999,7,27,2,24.6868334,-80.9625833,4.7,8,6631152,CONT_LR,4,9,14,182,SPA AURO,10.5,0.125,1,1,FSLR,FLA KEYS
090U,1999,7,27,2,24.7181167,-80.9198666,6.4,8,6713669,ISOL_MR,2,9,0,290,IST PLAT,0,0,1,0,MCPR,FLA KEYS
091U,1999,8,3,1,24.4594167,-81.8447166,5.2,8,4954777,SPGR_HR,4,8,21,382,ANC LYOL,0,0,1,1,HRRF,FLA KEYS
092U,1999,8,3,1,24.4612834,-81.842,4.9,8,4962278,SPGR_HR,4,8,21,55,EMB PAND,0,0,1,1,HRRF,FLA KEYS
093U,1999,8,3,1,24.4540167,-81.8588666,5.5,8,4928524,SPGR_HR,4,8,22,303,ACA SOLA,0,0,1,1,HRRF,FLA KEYS
094U,1999,8,3,2,24.455,-81.8568333,7.8,8,4932275,SPGR_HR,4,8,22,133,OCY CHRY,18,75,1,1,HRRF,FLA KEYS
095U,1999,8,4,1,24.5463,-81.4049999,7,8,5791074,SPGR_HR,4,8,16,133,OCY CHRY,34,0.75,1,1,HRRF,FLA KEYS
096U,1999,8,11,1,24.5990167,-81.2199499,8.2,8,6143603,CONT_LR,4,9,0,96,HAE PARR,0,0,1,0,FMLR,FLA KEYS
097U,1999,8,11,2,24.5958,-81.3718333,5.3,8,5854852,ISOL_MR,2,8,0,3,MAL GILL,0,0,1,0,MCPR,FLA KEYS
098U,1999,8,11,1,24.5939167,-81.3780166,8.5,8,5843601,ISOL_MR,2,8,0,74,COR GLAU,3,2.5,1,0,MCPR,FLA KEYS
099U,1999,8,11,2,24.6156667,-81.3938333,2.4,8,5813613,ISOL_MR,1,8,18,55,EMB PAND,0,0,1,1,INPR,FLA KEYS
100U,1999,8,11,1,24.6185,-81.3807666,2.7,8,5839864,ISOL_MR,1,8,0,706,HAE SPE.,3,7.5,1,0,INPR,FLA KEYS
101U,1999,8,11,2,24.6215667,-81.3620166,2.4,8,5873616,ISOL_MR,1,8,0,230,CHA LIMB,0,0,1,0,INPR,FLA KEYS
102U,1999,8,12,2,24.6522834,-81.0246832,5.2,8,6514883,SPGR_LR,4,9,0,258,DIP ARGE,0,0,1,0,FSLR,FLA KEYS
103U,1999,8,12,2,24.6513334,-81.0118332,21.5,8,6541132,SPGR_LR,4,9,0,48,CHA CAPI,0,0,1,0,FMLR,FLA KEYS
104U,1999,8,12,2,24.62285,-81.0975332,21.3,8,6376116,SPGR_LR,4,9,0,7,ACA BAHI,0,0,1,0,FMLR,FLA KEYS
105U,1999,8,13,1,25.0351667,-80.3486666,9.5,8,7793845,SPGR_HR,4,11,5,290,IST PLAT,0,0,1,1,HRRF,FLA KEYS
106U,1999,8,13,1,24.9861667,-80.4148333,6.4,8,7670068,SPGR_HR,4,11,0,92,HAE CHRY,11.5,1.5,1,0,HRRF,FLA KEYS
107U,1999,9,10,2,24.545,-81.4073332,5.2,8,5787324,SPGR_HR,4,8,16,126,LUT APOD,0,0,1,1,HRRF,FLA KEYS
108U,1999,9,10,1,24.545,-81.4073332,4.1,8,5787324,SPGR_HR,4,8,16,395,BRO BARB,0,0,1,1,HRRF,FLA KEYS
109U,1999,9,10,3,24.5463,-81.4049999,4.9,8,5791074,SPGR_HR,4,8,16,73,COR EIDO,0,0,1,1,HRRF,FLA KEYS
110U,1999,6,15,1,24.477577,-81.720873,16,8,5191037,SPGR_LR,4,8,20,201,EPI GUTT,0,0,1,1,FMLR,FLA KEYS
111U,1999,5,12,3,25.4866667,-80.1499999,3.2,8,8165346,ISOL_MR,2,12,0,113,HAL BIVI,10,1.5,1,0,MCPR,FLA KEYS
201U,1999,8,6,2,24.4445667,-81.9268666,6.1,8,4801019,SPGR_HR,4,8,0,113,HAL BIVI,7,1,1,0,HRRF,FLA KEYS
202U,1999,8,7,4,24.4444833,-81.9278166,7.6,8,4797269,SPGR_HR,4,8,0,103,NEO MARI,0,0,1,0,HRRF,FLA KEYS
203U,1999,8,7,2,24.4512834,-81.8801,8.2,8,4887273,SPGR_LR,4,8,23,248,BOD PULC,0,0,1,1,FMLR,FLA KEYS
204U,1999,8,7,2,24.45145,-81.8785166,7.9,8,4891023,SPGR_LR,4,8,23,52,AMB PINO,0,0,1,1,FMLR,FLA KEYS
205U,1999,8,8,2,24.4786167,-81.7233333,7.6,8,5187288,SPGR_LR,4,8,20,395,BRO BARB,0,0,1,1,FMLR,FLA KEYS
206U,1999,8,8,4,24.4788,-81.7186999,8.5,8,5194788,SPGR_HR,4,8,20,7,ACA BAHI,8.5,0.75,1,1,HRRF,FLA KEYS
207U,1999,8,9,3,24.48875,-81.6713333,9.5,8,5284793,SPGR_LR,4,8,0,40,DEC MACA,0,0,1,0,FMLR,FLA KEYS
208U,1999,8,9,3,24.4882667,-81.6737166,9.1,8,5281043,SPGR_HR,4,8,0,40,DEC MACA,0,0,1,0,HRRF,FLA KEYS
209U,1999,8,10,2,24.4911334,-81.66275,9.1,8,5303544,SPGR_HR,4,8,19,167,STE PART,4,6,1,1,HRRF,FLA KEYS
210U,1999,8,10,3,24.49085,-81.6656499,9.5,8,5296044,SPGR_LR,4,8,19,218,MYC VENE,0,0,1,1,FMLR,FLA KEYS
211U,1999,8,11,1,24.5138667,-81.5596499,8.5,8,5498557,SPGR_LR,4,8,0,395,BRO BARB,0,0,1,0,FMLR,FLA KEYS
212U,1999,8,12,1,24.5194167,-81.5427333,7.3,8,5532310,SPGR_LR,4,8,0,435,ENC NIGR,0,0,1,0,FMLR,FLA KEYS
213U,1999,8,13,4,24.5167667,-81.54215,4.3,8,5532308,SPGR_LR,4,8,0,3,MAL GILL,0,0,1,0,FMLR,FLA KEYS
214U,1999,8,12,4,24.5227334,-81.5132332,9.8,8,5588561,SPGR_LR,4,8,0,180,SCA VETU,0,0,1,0,FMLR,FLA KEYS
217U,1999,8,13,1,24.52255,-81.5179666,5.5,8,5577311,SPGR_HR,4,8,0,425,LAB KALI,0,0,1,0,HRRF,FLA KEYS
218U,1999,8,14,2,24.5654833,-81.3919499,7.6,8,5817335,ISOL_MR,3,8,17,157,ABU SAXA,13,1,1,1,OFPR,FLA KEYS
219U,1999,8,15,3,24.63075,-81.0948499,7,8,6383621,SPGR_LR,4,9,0,230,CHA LIMB,0,0,1,0,FMLR,FLA KEYS
220U,1999,8,26,4,24.5678834,-81.3853999,6.7,8,5828586,ISOL_MR,3,8,17,421,ECH NEUC,0,0,1,1,OFPR,FLA KEYS
221U,1999,8,26,2,24.5631001,-81.4003166,7.3,8,5802334,ISOL_MR,3,8,0,157,ABU SAXA,0,0,1,0,OFPR,FLA KEYS
222U,1999,8,26,3,24.5461167,-81.4036166,6.7,8,5794824,SPGR_HR,4,8,16,114,HAL GARN,6,0.25,1,1,HRRF,FLA KEYS
223U,1999,8,27,2,24.5453667,-81.4062666,7.6,8,5791074,SPGR_HR,4,8,16,2,APO BINO,0,0,1,1,HRRF,FLA KEYS
224U,1999,8,28,3,24.56395,-81.3966499,10.7,8,5809834,ISOL_MR,3,8,0,425,LAB KALI,0,0,1,0,OFPR,FLA KEYS
225U,1999,8,28,1,24.5424334,-81.4153666,8.5,8,5772322,SPGR_LR,4,8,0,218,MYC VENE,0,0,1,0,FMLR,FLA KEYS
226U,1999,8,28,4,24.5612,-81.3418999,8.2,8,5911083,SPGR_LR,4,8,0,245,NES LONG,0,0,1,0,FMLR,FLA KEYS
227U,1999,8,29,4,24.5986667,-81.2158332,8.2,8,6151103,SPGR_LR,4,9,0,183,SPA CHRY,0,0,1,0,FMLR,FLA KEYS
228U,1999,8,29,4,24.6006833,-81.2079833,9.1,8,6166104,SPGR_LR,4,9,0,262,SPH PICU,0,0,1,0,FMLR,FLA KEYS
229U,1999,8,30,4,24.6066334,-81.1851666,7.9,8,6211108,SPGR_LR,4,9,0,8,ACA CHIR,0,0,1,0,FMLR,FLA KEYS
230U,1999,9,1,3,24.6261,-81.1092666,6.4,8,6353618,SPGR_HR,4,9,15,8,ACA CHIR,0,0,1,1,HRRF,FLA KEYS
231U,1999,8,30,1,24.63215,-81.0897332,4.6,8,6391122,SPGR_LR,4,9,0,241,DIO HYST,0,0,1,0,FSLR,FLA KEYS
232U,1999,9,1,4,24.6252834,-81.1120166,6.1,8,6349868,SPGR_HR,4,9,15,160,CHR INSO,0,0,1,1,HRRF,FLA KEYS
233U,1999,9,2,3,24.6253834,-81.1100166,7,8,6353618,SPGR_HR,4,9,15,198,EPI ADSC,0,0,1,1,HRRF,FLA KEYS
234U,1999,9,11,4,24.83585,-80.6376499,8.8,8,7249985,CONT_LR,4,10,0,290,IST PLAT,0,0,1,0,FMLR,FLA KEYS
235U,1999,9,11,2,24.8476667,-80.6181499,7.6,8,7283741,SPGR_HR,4,10,12,113,HAL BIVI,8,7.75,1,1,HRRF,FLA KEYS
236U,1999,9,11,4,24.7936834,-80.6957666,10.1,8,7137461,SPGR_LR,4,10,0,408,PHA XENU,0,0,1,0,FMLR,FLA KEYS
237U,1999,9,12,3,24.8484001,-80.6169333,10.1,8,7287492,SPGR_HR,4,10,12,112,DOR MEGA,0,0,1,1,HRRF,FLA KEYS
238U,1999,9,12,3,24.8690001,-80.5813999,10.4,8,7355003,CONT_LR,4,10,0,237,SYN INTE,0,0,1,0,FMLR,FLA KEYS
239U,1999,9,12,3,24.9075834,-80.5260666,9.1,8,7460024,SPGR_LR,4,10,0,28,LAB GOBI,0,0,1,0,FMLR,FLA KEYS
240U,1999,9,17,1,24.9216334,-80.5066499,7.6,8,7497532,SPGR_LR,4,10,9,40,DEC MACA,0,0,1,1,FMLR,FLA KEYS
241U,1999,9,17,2,24.9226167,-80.5045333,7.9,8,7501283,SPGR_LR,4,10,9,161,CHR MULT,0,0,1,1,FMLR,FLA KEYS
242U,1999,9,17,2,24.9255834,-80.5006499,7.6,8,7508785,SPGR_LR,4,10,0,79,ELA MACR,0,0,1,0,FMLR,FLA KEYS
243U,1999,9,18,3,24.9539,-80.4571499,11.6,8,7587550,SPGR_LR,4,10,7,237,SYN INTE,0,0,1,1,FMLR,FLA KEYS
244U,1999,9,18,4,24.9512501,-80.4586999,9.5,8,7587549,SPGR_LR,4,10,7,235,SPH MOKA,0,0,1,1,FMLR,FLA KEYS
245U,1999,9,24,4,24.9386667,-80.4776499,11.9,8,7550042,SPGR_LR,4,10,0,95,HAE MELA,0,0,1,0,FMLR,FLA KEYS
246U,1999,9,23,2,24.9398167,-80.4775999,9.5,8,7550042,SPGR_LR,4,10,0,390,LAB NIGR,0,0,1,0,FMLR,FLA KEYS
247U,1999,9,23,2,24.9488667,-80.4569999,12.5,8,7591297,SPGR_LR,4,10,0,49,CHA OCEL,0,0,1,0,FMLR,FLA KEYS
248U,1999,9,23,3,24.9473834,-80.4580499,11.3,8,7587547,SPGR_LR,4,10,0,9,ACA COER,10,1,1,0,FMLR,FLA KEYS
641U,1999,6,2,1,24.44635,-81.99235,10.7,8,4677271,CONT_LR,4,8,0,437,LIO MOWB,0,0,1,0,FMLR,FLA KEYS
643U,1999,6,2,2,24.44635,-81.99235,7,8,4677271,CONT_LR,4,8,0,700,UNK SPE.,0,0,1,0,FMLR,FLA KEYS
644U,1999,6,2,1,24.44405,-81.9317166,5.9,8,4789769,SPGR_LR,4,8,0,80,ELA OCEA,2,2.5,1,0,FSLR,FLA KEYS
645U,1999,6,3,2,24.4633334,-81.755,13.9,8,5127279,SPGR_LR,4,8,0,33,PAR BAIR,0,0,1,0,FMLR,FLA KEYS
001U,2000,2,29,1,25.2231667,-80.2098332,5.2,8,8052700,CONT_LR,4,11,1,1,ANT OCEL,0,0,1,1,FSLR,FLA KEYS
002U,2000,2,29,1,25.2228333,-80.2039999,16.8,8,8063950,SPGR_LR,4,11,1,28,LAB GOBI,0,0,1,1,FMLR,FLA KEYS
003U,2000,3,17,1,25.5608334,-80.0944999,20.7,8,8266637,SPGR_LR,4,12,0,287,REM REMO,0,0,1,0,FMLR,FLA KEYS
004U,2000,3,17,1,25.5586667,-80.0951666,18,8,8266636,SPGR_LR,4,12,0,73,COR EIDO,0,0,1,0,FMLR,FLA KEYS
005U,2000,3,17,1,25.5651667,-80.0941666,18.9,8,8266640,SPGR_LR,4,12,0,129,LUT GRIS,0,0,1,0,FMLR,FLA KEYS
006U,2000,3,18,1,25.5788334,-80.0911666,21.3,8,8274147,SPGR_LR,4,12,0,37,CAR HIPP,0,0,1,0,FMLR,FLA KEYS
007U,2000,3,29,2,25.5815001,-80.0918332,22.9,8,8274149,SPGR_LR,4,12,0,299,SYN SCOV,0,0,1,0,FMLR,FLA KEYS
008U,2000,5,10,2,25.6135,-80.0898332,19.1,8,8274166,SPGR_LR,4,12,0,215,MYC INTE,0,0,1,0,FMLR,FLA KEYS
009U,2000,5,10,1,25.61245,-80.0891666,18.7,8,8277916,SPGR_LR,4,12,0,251,GYM SAXI,0,0,1,0,FMLR,FLA KEYS
010U,2000,5,10,1,25.6266667,-80.0913332,17.7,8,8274174,SPGR_LR,4,12,0,171,HET CRUE,0,0,1,0,FMLR,FLA KEYS
011U,2000,5,16,1,24.4457834,-81.9249833,6.6,8,4804770,SPGR_HR,4,8,0,109,KYP SECT,0,0,1,0,HRRF,FLA KEYS
012U,2000,5,16,1,24.4667834,-81.8306666,6.6,8,4984781,SPGR_HR,4,8,0,706,HAE SPE.,0,0,1,0,HRRF,FLA KEYS
